id_en	text_clean	pun_word	pun_type	first_meaning	second_meaning	first_context	second_context	manual_location	manual_type	manual_alternative	pun_word_fr	first_meaning_fr	second_meaning_fr	first_context_fr	second_context_fr
en_64	Legends tell us that a weakness of the carnivorous vampire is a steak.	steak	homophonic	['steak', 'meat', 'beef', 'fillet', 'cut of meat']	['stake', 'pointed stick', 'post', 'spike', 'wooden pole']	['carnivorous']	['Legends', 'weakness', 'vampire']	steak	homophonic	stake	steak	['steak', 'viande', 'bœuf', 'filet', 'morceau de viande']	['pieu', 'bâton pointu', 'poteau', 'pointe', 'poteau en bois']	['carnivore']	['Légendes', 'faiblesse', 'vampire']
en_65	To become a pilot requires a good altitude.	altitude	homophonic	['height', 'elevation', 'vertical distance', 'altitude']	['mindset', 'disposition', 'outlook', 'attitude']	['pilot']	['become', 'good']	altitude	homophonic	attitude	altitude	['hauteur', 'élévation', 'distance verticale', 'altitude']	["état d'esprit", 'disposition', 'perspective', 'attitude']	['pilote']	['devenir', 'bon']
en_66	I teach at a university, he professed.	professed	homographic	['declared', 'asserted', 'claimed', 'stated', 'announced', 'affirmed']	['taught', 'lectured', 'instructed', 'educated', 'tutored', 'schooled']	[]	['teach', 'university']	professed	homophonic	professor	professé	['déclaré', 'affirmé', 'prétendu', 'énoncé', 'annoncé', 'confirmé']	['enseigné', 'donné des cours', 'instruit', 'éduqué', 'formé', 'scolarisé']	[]	['enseigner', 'université']
en_67	When there's a sale on tennis balls it's first come first serve.	serve	homographic	['attended to', 'assisted', 'helped', 'accommodated', 'provided for']	['delivery', 'stroke', 'hit', 'overhead', 'start of play']	['sale', 'first come']	['tennis balls']	serve	homographic	serve	service	['servi', 'assisté', 'aidé', 'accommodé', 'pourvu']	['service', 'coup', 'frappe', 'smash', 'mise en jeu']	['vente', 'premier arrivé']	['balles de tennis']
en_68	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	shocking	homographic	['appalling', 'dreadful', 'terrible', 'outrageous', 'scandalous']	['electrifying', 'jolting', 'galvanic', 'stunning']	['failure']	['wiring', 'current']	shocking	homographic	shocking	choquant	['épouvantable', 'effroyable', 'terrible', 'scandaleux', 'outrageant']	['électrisant', 'saisissant', 'galvanique', 'sidérant']	['échec']	['câblage', 'courant']
en_69	From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident.	occident	homophonic	['West', 'western lands', 'sunset lands', 'occident']	['chance', 'fluke', 'coincidence', 'fortuity', 'accident']	['Pacific', 'California coast']	['shipwrecked', 'survivor', 'found his way']	occident	homophonic	accident	occident	['Ouest', 'terres occidentales', 'terres du couchant', 'occident']	['hasard', 'coup de chance', 'coïncidence', 'fortuité', 'accident']	['Pacifique', 'côte californienne']	['naufragé', 'survivant', 'a trouvé son chemin']
en_70	When making butter there is little margarine for error.	margarine	homophonic	['margarine', 'oleo', 'spread', 'butter substitute', 'fat']	['margin', 'allowance', 'leeway', 'latitude', 'room', 'space']	['making', 'butter']	['little', 'error']	margarine	homophonic	margin	margarine	['margarine', 'oléo', 'pâte à tartiner', 'substitut de beurre', 'matière grasse']	['marge', 'marge de manœuvre', "liberté d'action", 'latitude', 'place', 'espace']	['fabrication', 'beurre']	['petite', 'erreur']
en_71	Old chemists never die, they just stop reacting.	reacting	homographic	['transforming', 'interacting', 'bonding', 'combining', 'precipitating', 'undergoing a chemical change']	['responding', 'acting', 'behaving', 'answering', 'replying', 'moving']	['chemists']	['Old', 'die']	reacting	homographic	reacting	réagir	['se transformer', 'interagir', 'se lier', 'se combiner', 'précipiter', 'subir un changement chimique']	['répondre', 'agir', 'se comporter', 'répondre', 'répliquer', 'bouger']	['chimistes']	['Vieux', 'mourir']
en_72	The model who joined the air force was a bombshell.	bombshell	homographic	['beauty', 'stunner', 'knockout', 'babe', 'siren']	['explosive', 'projectile', 'missile', 'shell', 'ammunition']	['model']	['air force']	bombshell	homographic	bombshell	bombe	['beauté', 'canon', 'beauté fatale', 'poupée', 'sirène']	['explosif', 'projectile', 'missile', 'obus', 'munition']	['mannequin']	["armée de l'air"]
en_73	Abstinence makes the heart grow fonder	Abstinence	homophonic	['self-denial', 'refraining', 'temperance', 'restraint', 'abstinence']	['nonattendance', 'awayness', 'lack', 'unavailability', 'absence']	['heart', 'grow', 'fonder']	['heart', 'grow', 'fonder']	abstinence	homophonic	absence 	Abstinence	['abnégation', 'abstention', 'tempérance', 'retenue', 'abstinence']	['non-présence', 'éloignement', 'manque', 'indisponibilité', 'absence']	['cœur', 'grandir', 'plus tendre']	['cœur', 'grandir', 'plus tendre']
en_74	It's not that the man did not know how to juggle, he just didn't have the balls to do it.	balls	homographic	['spheres', 'globes', 'orbs', 'pellets', 'projectiles']	['courage', 'bravery', 'guts', 'nerve', 'audacity', 'moxie']	['juggle']	['man', "didn't", 'have', 'to', 'do', 'it']	balls	homographic	balls	boules	['sphères', 'globes', 'orbes', 'billes', 'projectiles']	['courage', 'bravoure', 'tripes', 'culot', 'audace', 'cran']	['jongler']	["l'homme", "n'avait", 'pas', 'à', 'le', 'faire']
en_75	Two coin collectors got together for old dimes sake.	dimes	homophonic	['dimes', 'coins', 'currency', 'ten-cent pieces', 'money']	['times', 'past', 'memories', 'history', 'nostalgia']	['coin', 'collectors']	['old', 'sake']	dimes	homophonic	times	dimes	['pièces de dix cents', 'pièces de monnaie', 'monnaie', 'pièces de dix centimes', 'argent']	['temps', 'passé', 'souvenirs', 'histoire', 'nostalgie']	['pièce de monnaie', 'collectionneurs']	['vieux', 'souvenir']
en_76	It's an actual parameter, not a formal parameter, was his argument.	argument	homographic	['parameter', 'value', 'input', 'independent variable']	['dispute', 'disagreement', 'reasoning', 'claim', 'case', 'contention']	['actual', 'parameter', 'formal']	['his']	argument	homographic	argument	argument	['paramètre', 'valeur', 'entrée', 'variable indépendante']	['dispute', 'désaccord', 'raisonnement', 'affirmation', 'argumentation', 'assertion']	['effectif', 'paramètre', 'formel']	['son']
en_77	3.14159265, he said piously.	piously	homophonic	['devoutly', 'religiously', 'reverently', 'holily', 'prayerfully', 'saintly']	['pi', '3.14', 'mathematical constant', 'ratio of circumference to diameter', "Archimedes' constant"]	[]	['3.14159265']	piously	homophonic	pi	pieusement	['dévotement', 'religieusement', 'avec respect', 'saintement', 'avec ferveur', 'pieusement']	['pi', '3,14', 'constante mathématique', 'rapport de la circonférence au diamètre', "constante d'Archimède"]	[]	['3,14159265']
en_78	An astronomy column in the newspaper would have a lot of space devoted to it.	space	homographic	['room', 'area', 'expanse', 'margin', 'territory']	['outer space', 'cosmos', 'universe', 'void', 'infinity']	['newspaper', 'column']	['astronomy']	space	homographic	space	espace	['place', 'zone', 'étendue', 'marge', 'territoire']	['espace', 'cosmos', 'univers', 'vide', 'infini']	['journal', 'colonne']	['astronomie']
en_79	Old shoemakers never die, they are just given the boot.	boot	homographic	['dismissal', 'firing', 'termination', 'sacking', 'ejection']	['footwear', 'shoe', 'galosh', 'wellington', 'cleat']	['die']	['shoemakers']	boot	homographic	boot	botte	['licenciement', 'renvoi', 'rupture de contrat', 'congédiement', 'éjection']	['chaussures', 'soulier', 'galoche', 'botte en caoutchouc', 'crampon']	['mourir']	['cordonniers']
en_80	One of these new shoes isn't right.	right	homographic	['right-hand', 'dexter', 'starboard', 'dextral']	['correct', 'proper', 'accurate', 'satisfactory', 'appropriate']	['shoes']	['new']	right	homographic	right	droit	['droit', 'dextre', 'tribord', 'dextre']	['correct', 'adéquat', 'précis', 'satisfaisant', 'approprié']	['chaussures']	['nouveau']
en_81	The postmen get together for mail bonding.	mail	homophonic	['letters', 'packages', 'post', 'correspondence', 'mail']	['men', 'masculine', 'manly', 'male']	['postmen']	['get together', 'bonding']	mail	homophonic	male	courrier	['lettres', 'colis', 'poste', 'correspondance', 'courrier']	['hommes', 'masculin', 'viril', 'mâle']	['facteurs']	['rassemblement', 'création de liens']
en_82	Let's take a vacation in the south of France, he said nicely.	nicely	homographic	['pleasantly', 'agreeably', 'kindly', 'politely', 'cordially']	['Nice', 'French Riviera city', 'Nizza', 'Mediterranean port']	['vacation']	['south', 'France']	nicely	homophonic	Nice	gentiment	['agréablement', 'aimablement', 'avec bonté', 'poliment', 'cordialement']	['Nice', "ville de la Côte d'Azur", 'Nizza', 'port méditerranéen']	['vacances']	['sud', 'France']
en_83	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.	pullet	homophonic	['young hen', 'chicken', 'bird', 'fowl']	['bullet', 'projectile', 'slug', 'shot', 'ammunition']	['farmer', 'kill', 'chicken', 'dinner']	['faster', 'speeding']	pullet	homophonic	bullet	poulette	['jeune poule', 'poulet', 'oiseau', 'volaille']	['balle', 'projectile', 'balle en plomb', 'coup de feu', 'munitions']	['fermier', 'tuer', 'poulet', 'dîner']	['plus vite', 'excès de vitesse']
en_84	Even though Catholics in space are weightless, do they have mass?	mass	homographic	['matter', 'substance', 'bulk', 'magnitude', 'density']	['liturgy', 'service', 'Eucharist', 'rite', 'ceremony']	['space', 'weightless']	['Catholics']	mass	homographic	mass	masse	['matière', 'substance', 'volume', 'grandeur', 'densité']	['liturgie', 'office', 'Eucharistie', 'rite', 'cérémonie']	['espace', 'apesanteur']	['Catholiques']
en_85	Old telephone operators never die, they just become disconnected.	disconnected	homographic	['severed', 'cut off', 'unplugged', 'deactivated', 'unlinked']	['detached', 'separated', 'isolated', 'departed', 'dissociated']	['telephone', 'operators']	['Old', 'die']	disconnected	homographic	disconnected	déconnecté	['tranché', 'coupé', 'débranché', 'désactivé', 'délié']	['détaché', 'séparé', 'isolé', 'disparu', 'dissocié']	['téléphone', 'opérateurs']	['Vieux', 'mourir']
en_86	A guy became so good with a chainsaw that he was promoted to branch manager.	branch	homographic	['bough', 'limb', 'twig', 'offshoot', 'arm']	['division', 'department', 'office', 'subdivision', 'sector']	['chainsaw']	['promoted', 'manager']	branch	homographic	branch	branche	['branche', 'membre', 'brindille', 'rejeton', 'bras']	['division', 'département', 'bureau', 'subdivision', 'secteur']	['tronçonneuse']	['promu', 'manager']
en_87	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'	iris	homophonic	['iris', 'eye part', 'colored ring', 'diaphragm']	['Irish', 'Gaelic', 'Hibernian', 'Celtic']	['optometrist', 'patient', 'vision', 'improving']	['luck']	iris	homophonic	irish	iris	['iris', "partie de l'œil", 'anneau coloré', 'diaphragme']	['irlandais', 'gaélique', 'hibernien', 'celtique']	['optométriste', 'patient', 'vision', 'amélioration']	['chance']
en_88	Old math profs never die. They just use strange expressions.	expressions	homographic	['formulas', 'equations', 'notations', 'mathematical statements', 'terms']	['phrases', 'idioms', 'sayings', 'facial looks', 'utterances']	['math', 'profs']	['die']	expressions	homographic	expressions	expressions	['formules', 'équations', 'notations', 'énoncés mathématiques', 'termes']	['phrases', 'expressions idiomatiques', 'dictons', 'expressions du visage', 'propos']	['maths', 'profs']	['mort']
en_89	Q: River Ravi flows in which state? A: Liquid.	state	homographic	['province', 'territory', 'region', 'administrative division', 'country']	['condition', 'phase', 'form', 'physical state', 'status']	['River', 'Ravi']	['Liquid']	state	homographic	state	état	['province', 'territoire', 'région', 'division administrative', 'pays']	['condition', 'phase', 'forme', 'état physique', 'statut']	['Rivière', 'Ravi']	['Liquide']
en_90	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.	Torrance	homophonic	['Torrance', 'city', 'municipality', 'suburb', 'urban area']	['torrents', 'downpours', 'deluges', 'cascades', 'gushes', 'bursts']	['Los Angeles']	['rainstorm', 'rain', 'came down']	torrance	homophonic	torrents	Torrance	['Torrance', 'ville', 'municipalité', 'banlieue', 'zone urbaine']	['torrents', 'averses', 'déluges', 'cascades', 'jaillissements', 'trombes']	['Los Angeles']	['tempête de pluie', 'pluie', 'est tombée']
en_91	Wow, thanks for the tea. I'm glad I got to Chai it.	Chai	homophonic	['tea', 'spiced tea', 'beverage', 'masala', 'Chai']	['try', 'attempt', 'sample', 'test', 'experience']	['tea']	['got to']	Chai	homophonic	try	Chai	['thé', 'thé épicé', 'boisson', 'masala', 'chai']	['essayer', 'tentative', 'goûter', 'tester', 'expérience']	['thé']	['devoir']
en_92	After he invented the light bulb, people saw Edison in a new light.	light	homographic	['illumination', 'brightness', 'radiance', 'glow', 'luminescence']	['perspective', 'viewpoint', 'perception', 'understanding', 'aspect']	['invented', 'bulb']	['people', 'saw', 'Edison', 'new']	light	homographic	light	lumière	['illumination', 'clarté', 'éclat', 'lueur', 'luminescence']	['perspective', 'point de vue', 'perception', 'compréhension', 'aspect']	['inventé', 'ampoule']	['gens', 'voyaient', 'Edison', 'nouveau']
en_93	A bee keeper will sell you honey with swarm wishes.	swarm	homophonic	['cluster', 'hive', 'mass', 'throng', 'cloud', 'drove']	['warm', 'cordial', 'genial', 'heartfelt', 'friendly', 'affectionate']	['bee keeper', 'honey']	['wishes']	swarm	homophonic	warm	essaim	['amas', 'ruche', 'masse', 'foule', 'nuage', 'troupeau']	['chaleureux', 'cordial', 'aimable', 'sincère', 'amical', 'affectueux']	['apiculteur', 'miel']	['vœux']
en_94	An architect knows how to make a long storey short.	storey	homophonic	['story', 'tale', 'narrative', 'account', 'anecdote', 'chronicle']	['storey', 'floor', 'level', 'tier', 'deck', 'stage']	['long', 'short']	['architect']	storey	homophonic	story	étage	['histoire', 'conte', 'récit', 'compte rendu', 'anecdote', 'chronique']	['étage', 'plancher', 'niveau', 'rangée', 'pont', 'palier']	['longue', 'courte']	['architecte']
en_95	Old electricians never die, they just can't make connections	connections	homographic	['links', 'joints', 'wiring', 'circuits', 'junctions', 'couplings']	['relationships', 'bonds', 'associations', 'ties', 'interactions', 'friendships']	['electricians']	['Old', 'die']	connections	homographic	connections	connexions	['liens', 'joints', 'câblage', 'circuits', 'jonctions', 'couplages']	['relations', 'liens', 'associations', 'attaches', 'interactions', 'amitiés']	['électriciens']	['Vieux', 'meurent']
en_96	Boy, that's a bright star, he said seriously.	seriously	homophonic	['gravely', 'solemnly', 'earnestly', 'soberly', 'sincerely']	['Sirius', 'dog star', 'stellar', 'astral', 'celestial']	['said']	['bright', 'star']	seriously	homophonic	sirius	sérieusement	['gravement', 'solennellement', 'sérieusement', 'sobrement', 'sincèrement']	['Sirius', "l'étoile du Chien", 'stellaire', 'astral', 'céleste']	['dit']	['brillant', 'étoile']
en_97	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.	mine	homophonic	['mind', 'brain', 'intellect', 'thought', 'consciousness', 'psyche']	['mine', 'explosive', 'landmine', 'bomb', 'trap', 'ordnance']	['picture']	['Claymore', 'defensive', 'weapon']	mine	homophonic	mind	mine	['esprit', 'cerveau', 'intellect', 'pensée', 'conscience', 'psyché']	['mine', 'explosif', 'mine terrestre', 'bombe', 'piège', 'munitions']	['image']	['Claymore', 'défensif', 'arme']
en_98	Freud could barely repress his excitement.	repress	homographic	['restrain', 'stifle', 'smother', 'curb', 'bottle up', 'suppress']	['push down', 'submerge', 'bury', 'banish to the unconscious', 'inhibit']	['excitement']	['Freud']	repress	homophonic	suppress	réprimer	['retenir', 'étouffer', 'suffoquer', 'freiner', 'contenir', 'supprimer']	['refouler', 'submerger', 'enfouir', "refouler dans l'inconscient", 'inhiber']	['excitation']	['Freud']
en_99	Old miners never die, they just lose their veins.	veins	homographic	['blood vessels', 'capillaries', 'venules', 'vasculature', 'ducts']	['lodes', 'seams', 'deposits', 'strata', 'ore bodies']	['die']	['miners']	veins	homophonic	vains	veines	['vaisseaux sanguins', 'capillaires', 'vénules', 'système vasculaire', 'conduits']	['filons', 'couches', 'gisements', 'strates', 'corps minéralisés']	['mourir']	['mineurs']
en_100	If you think that mutt made strange sounds as a pup, you should hear him grown.	grown	homophonic	['matured', 'adult', 'full-grown', 'developed']	['groan', 'moan', 'cry', 'sound', 'lament']	['mutt', 'pup']	['sounds', 'hear']	grown	homophonic	groan	grandi	['mûri', 'adulte', 'de taille adulte', 'développé']	['gémissement', 'plainte', 'cri', 'son', 'lamentation']	['corniaud', 'chiot']	['sons', 'entendre']
