id_en	text_clean	manual_location	manual_type	manual_alternative
en_2946	Most hunters are nice because they're such deer people.	deer	homophonic	dear
en_2947	Doctor, Doctor, what would you take for this cold?-Make me an offer. Next.	take	homographic	take
en_2950	The cartoon animator felt imprisoned by his job. He could not free himself from his cel.	cel	homophonic	cell
en_2953	They won't stay at friendly hotels, because they're hostel people.	hostel	homophonic	hostile
en_2955	The psychotic florist created many flower derangements.	derangements	homophonic	arrangements
en_2961	As they looked at the recreation of the Greek temple on Rodeo Drive while a freak ice storm was occurring, Emily and Henry were astonished by the very unusual frieze.	frieze	homophonic	freeze
en_2965	John plans to retire in the spring and, like the trees around us, will be leafing.	leafing	homophonic	leaving
en_297	When they told him that his drum couldn't be fixed, it didn't resonate very well.	resonate	homographic	resonate
en_2977	Be true to your teeth, or they will be false to you.	false	homographic	false
en_2980	Leftover spaghetti is pasta its prime.	pasta	homophonic	past
en_2983	Tailors enjoy hanging out in internet fora, as they are full of threads.	threads	homographic	threads
en_2985	I went and saw the Hobbit, it put a Smaug look on my face.	smaug	homophonic	smug
en_2991	My name is Sherry. I'm a wine-master.	sherry	homographic	sherry
en_2993	The man addicted to brake fluid said he could stop any time.	stop	homographic	stop
en_3007	The cheap eye surgeon was always cutting corneas.	corneas	homophonic	corners
en_3016	My pet bird can predict the future. He is an omen pigeon.	omen	homophonic	homing
en_3018	Scarecrows are always garden their patch.	garden	homophonic	guarding
en_3034	She was only a Electrician's daughter, but she went haywire.	haywire	homographic	haywire
en_3036	Psychiatrists like Kentucky Freud Chicken.	freud	homophonic	fried
en_3043	Here is how the track meet is going to run...	run	homographic	run
en_3045	I tried to record an album in a reptile shop, but there was a terrible gecko.	gecko	homophonic	echo
en_3048	Dentists don't like a hard day at the orifice.	orifice	homophonic	office
en_3054	The astronomer became an actor because he always wanted to visit the stars.	stars	homographic	stars
en_3059	My name is Gail. I'm a meteorologist	gail	homophonic	gale
en_3062	Martians welcome. We have space for everyone.	space	homographic	space
en_3066	A baseball player joined the army and did the round of military bases.	bases	homographic	bases
en_3073	By yourself you're in the right. In a group you're in the throng.	throng	homophonic	wrong
en_3077	Salespeople selling security equipment like to see people get alarmed.	alarmed	homophonic	alarm
en_3079	The phone call interrupted my nap, and I never did get the rest.	rest	homographic	rest
en_3081	Comedians, the biggest joke going.	joke	homographic	joke
en_3092	The obese editor started a weight redaction program.	redaction	homophonic	reduction
en_3094	Old guitarists never die, they just fret their lives away	fret	homographic	fret
en_3108	The inventor of the stove top was in his element.	element	homographic	element
en_3117	She was only a Glaziers daughter but took great panes to please	panes	homophonic	pains
en_3119	For a long time, black holes were a dark secret.	dark	homographic	dark
en_3126	He was hit on the head during a hail storm and was knocked out cold.	cold	homographic	cold
en_3136	I bought a metronome for 20 bucks. You can't beat that price.	beat	homographic	beat
en_314	People who make motor oil are very refined.	refined	homographic	refined
en_3142	When the florist was running behind in delivering the roses, he had to put the petal to the metal.	petal	homophonic	pedal
en_3156	A tangled bell ringer tolled himself off.	tolled	homophonic	told
en_3158	I have to check the score on this exam again, he remarked.	remarked	homographic	remarked
en_3165	Let's visit the tombs, he said, cryptically.	cryptically	homographic	cryptically
en_3170	Stereo speakers are made by 'high volume' manufacturers.	volume	homographic	volume
en_3176	We went to the owls convention and it was a real hoot.	hoot	homographic	hoot
en_3182	Old gravediggers; never die, they just spade away.	spade	homophonic	fade
en_3183	He told me he could eat a 32 ounce steak, but I found that hard to swallow.	swallow	homographic	swallow
en_3184	Old programmers never die, they just move to new addresses.	addresses	homographic	addresses
en_3189	If you want a metal dog leash go to a chain store.	chain	homographic	chain
en_3195	My stereo's half-fixed, he said monotonously.	monotonously	homophonic	monotone
en_32	A person who would make a banking joke is of no account.	account	homographic	account
en_3203	A group of singers wore coral necklaces.	coral	homophonic	choral
en_3209	A dog bit me, he said rabidly.	rabidly	homophonic	rabid
en_3223	The landscaper thought gardening magazines were fun to leaf through.	leaf	homographic	leaf
en_3226	A gardener who moved back to his home town rediscovered his roots.	roots	homographic	roots
en_3233	Finding all possible logical relations between a finite collection of sets is not a matter of If but Venn.	venn	homophonic	when
en_3245	She was only a Telephone operator's daughter, but she sure had good connections.	connections	homographic	connections
en_3249	Mr. Coffee returns from Soviet Russia: "I have seen the future and it perks"	perks	homophonic	works
en_3251	There was a lot of equestrian paraphernalia at the bridle shower.	bridle	homophonic	bridal
en_3256	The ice at the rink has many ruts. I think the maintenance crew is slipping up.	slipping	homographic	slipping
en_3258	Even though the well was a mystery to her, she didn't want to get to the bottom of it.	bottom	homographic	bottom
en_3261	That new mystery novel has a killer start to it.	killer	homographic	killer
en_327	When Socrates needed to buy food he went to the grocery stoa.	stoa	homophonic	store
en_3274	Many people need to learn to be happy with the State they are in.	state	homographic	state
en_3282	This is a good bra, she said upliftingly.	upliftingly	homographic	upliftingly
en_3283	Two brothers fought over some sheet music but their mother wanted to keep the piece.	piece	homophonic	peace
en_3284	A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution.	solution	homographic	solution
en_3286	The Keystone Kops were frequently criticized for excessive use of farce.	farce	homophonic	force
en_3291	Have you ever been whitewater rafting? he asked rapidly.	rapidly	homographic	rapidly
en_3301	I prefer trout to salmon, he said officiously.	officiously	homophonic	fish
en_331	Sellers of dried grapes are always raisin awareness.	raisin	homophonic	raising
en_3327	Santa goes down the chimney because it soots him.	soots	homophonic	suits
en_3328	It's amazing what two or more sinners can achieve together with synergy.	synergy	homophonic	sinergy
en_3344	I'm singing well these days, he intoned.	intoned	homophonic	in tone
en_3345	These are my parents, said Einstein relatively	relatively	homographic	relatively
en_3346	Burning too much incense in a rented room could make the owner incensed.	incensed	homophonic	incense
en_3347	I hate sweet potatoes, he yammered.	yammered	homophonic	yam
en_3349	He couldn't decide whether to accept a job in mattress sales so he decided to sleep on it.	sleep	homographic	sleep
en_3354	Those who find bargain antiques like to junk for joy.	junk	homophonic	jump
en_336	Old math professors never die, they just use strange expressions.	expressions	homographic	expressions
en_337	Our Boy Scouts' knot-tying class went off without a hitch.	hitch	homographic	hitch
en_3383	Old planets never die, they just lose their attraction.	attraction	homographic	attraction
en_3387	Two florists got married. It was an arranged marriage.	arranged	homographic	arranged
en_3388	A musician went to hospital after playing too many accidentals.	accidentals	homophonic	accident
en_339	Angel dust? Me? Never touch it! he snorted.	snorted	homographic	snorted
en_3396	The careless pyromaniac made an ash of himself.	ash	homophonic	ass
en_3399	Fashionable women in Indiana all wear designer Hoosiery.	hoosiery	homophonic	hosiery
en_3401	Old baseballs never die they just get pitched.	pitched	homographic	pitched
en_3422	During the meeting about earthquakes, there were several motions.	motions	homographic	motions
en_3425	Bring your spirtual Marshmellows, our pastor is on fire!	fire	homographic	fire
en_3439	She was only an Apple-grower's daughter but the men said she was delicious.	delicious	homographic	delicious
en_3443	Time flies when you ’ re following the son	son	homophonic	sun
en_3445	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.	hobbit	homophonic	habit
en_3450	The fertiliser business is a growing industry.	growing	homographic	growing
en_3451	A cat ate some cheese and waited for a mouse with baited breath.	baited	homophonic	bated
en_3452	I compliment the company that makes the Macintosh computer, he said applauding.	applauding	homophonic	apple
en_3453	Hotel owners usually have suite dreams.	suite	homophonic	sweet
en_3454	Insulting an East Indian chef will bring you bad Korma.	Korma	homophonic	Karma
en_3455	My name is Harry. I'm a barber.	harry	homophonic	hairy
en_3462	When you're wearing a watch on an airplane, time flies.	flies	homographic	flies
en_3467	When the proposal was made to locate the governor's mansion in Albany, New Yorkers said," That's a capitol idea."	capitol	homophonic	capital
en_3470	I won't finish in fifth place, he held forth.	forth	homophonic	fourth
en_3494	Some commands given by the army are specific, others are General.	General	homographic	general
en_3495	If you sing while playing baseball, you won't get a good pitch.	pitch	homographic	pitch
en_3497	The telemarketer asked me if I read magazines at all and I replied that I did, periodically.	periodically	homophonic	periodical
en_3498	The seesaw is upside down, he said saucily.	saucily	homophonic	sawsily
en_3499	Two wrongs can make a riot.	riot	homophonic	right
en_3507	A baseball player can sell himself to a new team if he has a good pitch.	pitch	homographic	pitch
en_3519	Old horse stables do die but they can always be barn again	barn	homophonic	born
en_3525	People have many misconceptions about pregnancy.	misconceptions	homophonic	conception
en_3533	Some burglars are always looking for windows of opportunity.	windows	homographic	windows
en_3538	I know what herb would taste nice with this, he said sagely.	sagely	homophonic	sage
en_3554	The trapeze artist had to buy his own safety equipment. Every Friday he drew his net wages.	net	homographic	net
en_3559	You should lock up your wine in a cabernet.	cabernet	homophonic	cabinet
en_3570	Luggage salespeople have to make a good case for you to buy.	case	homographic	case
en_359	When asked by a Health Department official to describe the mess he saw on the slaughterhouse floor, the USDA inspector replied," It was just offal."	offal	homophonic	awful
en_3594	The body builder worried too much about the lifting contest and his trainer concluded that the mind is a terrible thing to weights.	weights	homophonic	waste
en_3598	Chimney sweep's daughter, but she soots me fine.	soots	homophonic	suits
en_36	A husband who thinks he is as solid as a rock may have a wife who wishes he was a little bolder.	bolder	homophonic	boulder
en_3613	I bought myself fifty hamburgers and I've only ten left, he said with fortitude.	fortitude	homophonic	forty-tude
en_362	I'm a lion hunter, he said, pridefully	pridefully	homophonic	pride
en_3621	I just got back from a statistical probability conference. It was average.	average	homographic	average
en_3626	Old colanders never die, they just can't take the strain anymore.	strain	homographic	strain
en_3629	He took a nail to the volleyball game because he wanted to spike it.	spike	homographic	spike
en_3633	When a college dormitory exploded a lot of roomers were flying.	roomers	homophonic	rumors
en_3638	I've been listening to the Brandenberg Concertos, he barked.	barked	homophonic	Bach
en_3643	During a recent trip to Qatar, Bill Clinton went to McDonald's and ordered fries with a sheik.	sheik	homophonic	shake
en_3648	Wal-Mart Is Not the Only Saving Place. Come On In.	saving	homographic	saving
en_3650	How do you start a model-T Ford without a battery? he asked crankily.	crankily	homographic	crankily
en_366	When asked by a passenger how high he would get, the pilot replied, 'I don't do drugs.'	high	homographic	high
en_3670	A drummer can cymbalize the enthusiasm of a band.	cymbalize	homophonic	symbolize
en_3674	The geologist went to the doctor because he had a loss of apatite.	apatite	homophonic	appetite
en_3677	She was suspected of stealing a brooch but they couldn't pin it on her.	pin	homographic	pin
en_3678	To golf at your favorite course may require a long drive.	drive	homographic	drive
en_3680	It's the quotient of two integers, he said rationally.	rationally	homophonic	rational
en_3681	In the office she was frantically looking for her false nails only to discover she had filed them away.	filed	homographic	filed
en_3684	The proctologist reassured the patient that his condition could be rectified.	rectified	homophonic	rectum
en_369	Old wrestlers never die they just lose their grip.	grip	homographic	grip
en_37	Wilbur Wright said he'd take a flier on it.	flier	homographic	flier
en_3705	Christians, keep the faith... but not from others!	keep	homographic	keep
en_3707	Aliens can easily understand each other because their language is universal.	universal	homographic	universal
en_3708	An heir is someone with a descent wage.	descent	homophonic	decent
en_3713	She was only a Grape picker's daughter, but she was never Chablis dressed.	chablis	homophonic	shabbily
en_3718	'We've run out of lemons', she said bitterly.	bitterly	homophonic	bitter
en_3719	I wanted to make suits but I could never measure up.	measure	homographic	measure
en_372	If your waiting for something to turn up, try your sleeves.	turn	homographic	turn
en_3725	I had some back trouble, but it's all behind me now.	behind	homographic	behind
en_3729	I like Chinese detective movies, he chanted.	chanted	homophonic	chan
en_3730	I've been to a film festival in Southern France, he said cannily.	cannily	homophonic	Cannes
en_3739	As I revived her using mouth to mouth resuscitation, in spite of my lisp, I couldn't help noticing her beautiful breaths!	breaths	homophonic	breasts
en_3742	Some bankers are generous to a vault.	vault	homophonic	fault
en_3747	Two construction workers had a stairing contest.	stairing	homophonic	staring
en_3750	The safe was invented by a cop and a robber. It was quite a combination.	combination	homographic	combination
en_3756	I'd like some Chinese food, he said wantonly.	wantonly	homophonic	wonton
en_3762	He bought a donkey because he thought he might get a kick out of it.	kick	homographic	kick
en_3763	Old school principals never die, they just lose their faculties.	faculties	homographic	faculties
en_3766	I love cats, he mused.	mused	homophonic	mews
en_377	Bring me a rubber band and make it snappy!	snappy	homographic	snappy
en_3771	My name is Oscar, and I'm a movie star.	oscar	homographic	oscar
en_3775	My name is Lute. I'm a musician.	lute	homographic	lute
en_3777	It wasn't school John disliked it was just the principal of it.	principal	homophonic	principle
en_3778	Young women who are mathematics professors closely watch their figures.	figures	homographic	figures
en_3780	Never lie to an x-ray technician. They can see right through you.	see	homographic	see
en_3789	I couldn't figure out how to fasten my seatbelt. Then it clicked.	clicked	homographic	clicked
en_3798	Mickey Mouse gives some people Disney spells.	disney	homophonic	dizzy
en_3799	I'm a mathematician, he added summarily.	summarily	homophonic	sum
en_3804	When the creator of Tarzan wrote about Pellucidar and other Earth-core stories, was it Edgar Rice burrows?	burrows	homophonic	Burroughs
en_3815	Retired teachers are classless.	classless	homographic	classless
en_3830	When cannibals ate a missionary they got a taste of religion.	taste	homographic	taste
en_3859	The Easter story is not a dead issue.	dead	homographic	dead
en_3871	She was only a Quarryman's daughter, but she took everything for granite.	granite	homophonic	granted
en_3874	Fire! he yelled alarmingly.	alarmingly	homophonic	alarm
en_3882	Tried some bear stew. It was a little grizzly.	grizzly	homographic	grizzly
en_3883	I like marching songs, in any month.	marching	homophonic	march
en_3886	The fault line had a splitting headache.	splitting	homographic	splitting
en_3889	The photograph that I took of the sandstorm turned out grainy.	grainy	homographic	grainy
en_389	Rabbits like their beer brewed with a lot of hops.	hops	homographic	hops
en_3892	A waist is a terrible thing to mind.	waist	homophonic	waste
en_3897	The ultimate liquid measure is the supreme quart.	quart	homophonic	court
en_3898	A gambling gardener usually hedges his bets.	hedges	homographic	hedges
en_39	Why is this telephone flex always tangled? he asked coyly.	coyly	homophonic	coil
en_3907	My skiing skills are really going downhill.	downhill	homographic	downhill
en_3911	Dairy Queen isn't the only place with awesome Sundays.	sundays	homophonic	sundaes
en_3918	I used to do rock climbing as a youth, but I was much boulder back then.	boulder	homophonic	bolder
en_3925	Upon discovering her children playing with matches their mother was flaming mad.	flaming	homographic	flaming
en_3943	She was only a Farmer's daughter, but she knew hundreds of ways to fertilize.	fertilize	homographic	fertilize
en_3948	My name is Ray. I'm a roentgenologist.	ray	homographic	ray
en_395	She was only a Blacksmith's daughter, but she knew how to forge ahead.	forge	homographic	forge
en_3955	A tailor sometimes decides to suit himself.	suit	homographic	suit
en_3957	An old spice wholesaler is a seasoned veteran.	seasoned	homographic	seasoned
en_3958	When overcome by thoughts of sin the princess visited the knave.	knave	homophonic	nave
en_3959	Have a ride in my new ambulance, he said hospitably.	hospitably	homophonic	hospital
en_3966	He was a restaurant critic but had no taste.	taste	homographic	taste
en_3970	The ailing king of the doves sensed an imminent coup.	coup	homophonic	coo
en_3973	Acrobats are always doing good turns.	turns	homographic	turns
en_3974	I told you not to ride that horse, he nagged.	nagged	homophonic	nag
en_3977	When he found out that he would visit a real blacksmith he got all fired up.	fired	homographic	fired
en_3980	When the thief fell in the wet cement and broke both legs, he became a hardened criminal.	hardened	homographic	hardened
en_3981	Did you hear about the bivalve they called in to interrogate for that big murder investigation? Apparently, he's clammed up.	clammed	homophonic	clam
en_3982	That the obstetrician's services were needed on the train was an accident of berth.	berth	homophonic	birth
en_3983	Old farmers never die, they just spade away.	spade	homophonic	fade
en_3985	For every 45 I collected, I would write down the song and the artist so I could keep records.	records	homographic	records
en_3996	When entering a funeral home, remember to stay alert and always look alive!	alive	homographic	alive
en_3999	Don't you know my name? he asked swiftly.	swiftly	homophonic	Swift
en_4002	Some people really enjoy blowing air out of their lungs-I'm not a fan myself.	fan	homographic	fan
en_4004	Old kings never die they just get throne away	throne	homophonic	thrown
en_4006	Are evil wildebeests bad gnus?	gnus	homophonic	news
en_4008	A baker stopped making donuts after he got tired of the hole thing.	hole	homophonic	whole
en_4010	Old plagiarists never die, they just steal away.	steal	homographic	steal
en_4012	She memorized just what kind of locket she wanted, by heart.	heart	homographic	heart
en_4016	The hotel regrets that you do not find your rooms satisfactory; I will send up our sweet manager right away.	sweet	homophonic	suite
en_4018	If you go for a job interview at a rubber stamp company try to make a good impression.	impression	homographic	impression
en_4020	Did you see guys that Bob the ventriloquist hangs out with? They're nothing special, just a bunch of dummies.	dummies	homographic	dummies
en_4025	Businesses selling pleasure boats often have a sail.	sail	homophonic	sale
en_4027	My name is Iris. I'm an optometrist	iris	homographic	iris
en_403	Baseball players are expected to perform well right off the bat.	bat	homographic	bat
en_4031	Well drilling is a deep subject.	deep	homographic	deep
en_4034	My friend said, 'There's a lot of gold in those hills.' I replied, 'That's a load of bullion.'	bullion	homophonic	bull
en_4035	Old trigonometry teachers never die, they just lose their identities.	identities	homographic	identities
en_4041	The cost of a galvanized hull is enough to zinc a ship.	zinc	homophonic	sink
en_4044	A politician with a bad back needs lots of support.	support	homographic	support
en_4052	I simply must find a new podiatrist. My podiatrist has developed such a callus attitude.	callus	homophonic	callous
en_4055	I suspected our new house guest was a terrorist. He asked to sleep on a blow up mattress.	blow	homographic	blow
en_4056	Archaeologists working at night need lots of eon lights.	eon	homophonic	neon
en_4061	Did you know that donuts were first made in Greece?	greece	homophonic	grease
en_4063	The hardest thing for a person to keep is his opinion	keep	homographic	keep
en_4068	If you think guests really enjoy your home movies, you are probably projecting.	projecting	homographic	projecting
en_4069	A kettle on the stove was singing 'Home on the Range'.	range	homographic	range
en_4072	A play, based on billiards, started right on cue.	cue	homographic	cue
en_4077	Old eskimos never die, they just go cold.	cold	homographic	cold
en_4082	Roentgen was radiating.	radiating	homographic	radiating
en_409	Old typists never die, they just lose their justification.	justification	homographic	justification
en_4093	The lawyer asked a loaded question about guns.	loaded	homographic	loaded
en_4104	I used to have a fear of hurdles, but I got over it.	got	homographic	got
en_4112	I went to the theatre, it looked a bit suspicious. I reckon the whole thing was staged.	staged	homophonic	stage
en_4113	My uncle developed a strange vulgar habit. He would only cuss when he'd eat chicken. The doctor said he has seen this happen in some cases. Too much chicken can produce a fowl mouth.	fowl	homophonic	foul
en_4123	Hubble wanted to bring the idea into better focus.	focus	homographic	focus
en_4134	Trust your calculator. It's something to count on.	count	homographic	count
en_4135	She was only a Fruit vender's daughter, but, oh, what a peach.	peach	homographic	peach
en_4141	The earliest mention of cars is in the Bible when Adam and Eve were driven out of the Garden of Eden.	driven	homographic	driven
en_4150	A farmer with a rip in his clothes has an overall problem.	overall	homophonic	overalls
en_4152	I find that movies about submarines always go down well.	down	homographic	down
en_4154	A manufacturer that made lamps gave their employees a light workload.	light	homographic	light
en_416	Lizards have a very strong heartbeat which can be faintly heard anywhere on their body, said Mr. Johnson, beginning a story. "Come listen to this tail."	tail	homophonic	tale
en_4175	Having too many vowels is a consonant struggle in the game of Scrabble.	consonant	homophonic	constant
en_4194	On my tour of the U. K., Charles invited me to cook at Buckingham Palace, and naturally, I took photos so I could show everyone the prince.	prince	homophonic	prints
en_4216	Why did the dairy churn? The less said, the butter...	butter	homophonic	better
en_4224	When those around King Arthur's table had insomnia, there were a lot of sleepless knights.	knights	homophonic	nights
en_4229	Noteworthy musicians are very composed.	composed	homophonic	compose
en_4231	I'm from a Humberside port, he said ghoulishly.	ghoulishly	homophonic	ghoul
en_4239	There's a repair shop for baroque musical instruments.	baroque	homophonic	broken
en_424	She was only a Wrestler's daughter, but you oughtta see her box..	box	homographic	box
en_4247	I tried to learn how to drive a stick shift but couldn't locate the manual.	manual	homographic	manual
en_425	Data got into so much trouble, her parents sent her packeting.	packeting	homophonic	packing
en_4254	Scientists have created a flea from scratch.	scratch	homographic	scratch
en_4256	The salesman was peddling used bikes.	peddling	homophonic	pedaling
en_4259	I finally found a spotter at the gym, it's like a huge weight has been lifted off my shoulders.	weight	homographic	weight
en_4263	A music store was robbed. The thief made away with the lute.	lute	homophonic	loot
en_4267	Selling gasoline too cheaply would be fuelish.	fuelish	homophonic	foolish
en_4269	Edison thought it would be an illuminating experience.	illuminating	homographic	illuminating
en_4271	Five brothers wanted to buy a horse, so they all had to pony up.	pony	homographic	pony
en_4278	Old credit card users never die, they just expire.	expire	homographic	expire
en_4295	Two lovers who had been apart for some time were reunited on a foggy day. One whispered to the other'I mist you'.	mist	homophonic	missed
en_4300	Old pilots never die they just take off.	take	homographic	take
en_4309	Church disputes can be settled with canons.	canons	homophonic	cannons
en_4310	When the crop was destroyed, there was no more cranberry source.	source	homophonic	sauce
en_4319	I tried to pack myself in a suitcase. I could hardly contain myself.	contain	homographic	contain
en_4324	Rabbits generally lead a hoppy life.	hoppy	homophonic	happy
en_4330	In certain sexual harassment cases things can get kind of touchy.	touchy	homographic	touchy
en_4334	How do spacemen add more protein to their diet? They make it meteor.	meteor	homophonic	meatier
en_4338	The invisible cows were herd but not seen.	herd	homophonic	heard
en_434	There's nothing to stop me putting things in tins, he said cannily.	cannily	homophonic	can
en_4342	I've gained thirty pounds, he said heavily.	heavily	homographic	heavily
en_4343	I went to see my guru but he wasn't omm.	omm	homophonic	home
en_4344	I found out that at the gym, their opinion on fitness carries a lot of weight.	weight	homographic	weight
en_4352	Those who play musical instruments for radio or TV have to stay tuned.	tuned	homographic	tuned
en_4361	The cost of the space program is astronomical.	astronomical	homographic	astronomical
en_4368	I heard Einstein got along well with his parents... relatively speaking.	relatively	homographic	relatively
en_437	A baseball player was a thief. He was always trying to steal.	steal	homographic	steal
en_438	When his clothes dryer broke he was lint another one.	lint	homophonic	lent
en_4386	When he kicked the invoice, it didn't mean he wanted to foot the bill.	foot	homographic	foot
en_4387	Old bookkeepers never die they just lose their figures.	figures	homographic	figures
en_440	To stay fit the priest exorcises.	exorcises	homophonic	exercises
en_4408	Being able to fit size 14 shoes is quite a feet.	feet	homophonic	feat
en_4410	My pencil is blunt, he said pointlessly.	pointlessly	homographic	pointlessly
en_4413	My name is Brandy. The bartender.	brandy	homographic	brandy
en_4417	The family of bears posing for their family portrait experienced a true Kodiak moment.	kodiak	homophonic	kodak
en_4418	When asked by her co-workers whether they should bring a gift to her birthday party, Mary replied," You should know that all I'm interested in is your presence."	presence	homophonic	presents
en_442	Old tree surgeons never die, they just pine away.	pine	homographic	pine
en_4422	A perfectly spherical pumpkin makes good pi.	pi	homophonic	pie
en_4425	My mom ran out of poultry seasoning so she winged it.	winged	homographic	winged
en_4426	Making up puns about the finest soil is the loess form of humor.	loess	homophonic	lowest
en_4428	I want to buy that big diamond, he said hopefully.	hopefully	homographic	hopefully
en_4436	I got a nasty electric shock the other day, but I wasn't phased.	phased	homophonic	fazed
en_4437	Did you hear about the crime that happened in a parking garage? It was wrong on so many levels.	levels	homographic	levels
en_4439	To draw cartoons for a living requires someone who is very animated.	animated	homographic	animated
en_4443	Perhaps I will, he said with all his might.	might	homographic	might
en_4447	Those who make sinks often feel washed out.	washed	homographic	washed
en_445	The surest steps to happiness are the steps to church.	steps	homographic	steps
en_4452	My new theory on inertia doesn't seem to be gaining momentum.	momentum	homographic	momentum
en_4454	My name is Herb. I'm a cook.	herb	homographic	herb
en_4457	She was only a Real estate agent's daughter, but she gave a lot away.	lot	homographic	lot
en_4461	Someone who sells old chess pieces is a pawn broker.	pawn	homophonic	pawnbroker
en_4463	Old mediums never die, they just lose their spirits.	spirits	homographic	spirits
en_4469	The astronauts said their experience on the moon was out of this world.	world	homographic	world
en_4484	Old chicken farmers never die, they just have a dozen aches.	aches	homophonic	eggs
en_4486	I finished my trigonometry exam without a secant to lose.	secant	homophonic	second
en_449	The science teachers broke up because there was no chemistry between them.	chemistry	homographic	chemistry
en_4496	He became an astronaut and had a blast.	blast	homographic	blast
en_4499	She was only a Dentist's daughter, but everybody wanted to fill her cavity.	cavity	homographic	cavity
en_45	Old antenna engineers never die, they just phase away.	phase	homophonic	fade
en_4500	I've spotted more blackbirds than you have, he crowed.	crowed	homophonic	crow
en_4508	They called him the king of the dentists because he specialized in crowns.	crowns	homographic	crowns
en_4511	If you jump to conclusions, you make terrible landings.	jump	homographic	jump
en_4517	Old cotton-pickers never die. They just bale out.	bale	homophonic	bail
en_4520	Old chemists never die, they just fail to react.	react	homographic	react
en_4534	The shoemaker did not deny his apprentice anything he needed. He gave his awl.	awl	homophonic	all
en_4535	Waiters are good at multiplication because they know their tables.	tables	homographic	tables
en_4540	My name is Brooks. I'm an irrrigation consultant	brooks	homographic	brooks
en_455	Once upon a time there was a beautiful princess, he began grimly.	grimly	homophonic	grim
en_456	Old artists never die, they just put things in perspective.	perspective	homographic	perspective
en_4564	Officer Jones takes his yearly bath every June. He is a characteristic example of a dirty cop.	dirty	homographic	dirty
en_4568	The Vatican's supplier of duck eggs is elected by sacred balut.	balut	homophonic	ballot
en_4577	I'm a ditch digger, he said, trenchantly	trenchantly	homophonic	trench
en_4581	The earless defendant waived his hearing.	hearing	homographic	hearing
en_4583	A man sprayed a boy with ceiling foam. He was arrested for insulating behavior.	insulating	homophonic	insulting
en_4591	The dermatologist was an avid gardener but he had a problem with moles.	moles	homographic	moles
en_4593	The sheep robber was caught on the lamb.	lamb	homophonic	lam
en_4594	I love hockey, he said, puckishly.	puckishly	homophonic	puck
en_46	Endorsement by an olympic swimmer caused a company's profits to dive.	dive	homographic	dive
en_4611	A fisherman tried boxing, but he only threw hooks.	hooks	homographic	hooks
en_4615	Old air conditioner repairmen never die, they just lose their cool.	cool	homographic	cool
en_4618	My name is Leo. A lion trainer.	leo	homographic	leo
en_4619	A baseball pitcher asked if he had a good curve ball, but wanted a straight answer.	straight	homographic	straight
en_4620	When the TV repairman got married the reception was excellent.	reception	homographic	reception
en_4625	What it boils down to is this: eggs taste good.	boils	homographic	boils
en_4627	She was only a Gardener's daughter, but she knows all the rakes.	rakes	homographic	rakes
en_463	We're expecting fallout from the recent layoffs at the nuclear plant.	fallout	homographic	fallout
en_4631	My chronically runny-nosed friend, who staunchly opposes all independent emirates, was bothered by catarrh on his trip around the world.	catarrh	homophonic	Qatar
en_4642	Old photographers never die they just stop developing.	developing	homographic	developing
en_4655	Even if you're on the right track, you'll get run over if you just sit there.	track	homographic	track
en_4656	Back when the news was written on clay tablets there was a lot of breaking news.	breaking	homographic	breaking
en_4660	Is fear of sliced bacon irrational?	irrational	homophonic	irrashional
en_4661	The Spaniard's wife was always up before the Don.	don	homophonic	dawn
en_4671	A skier who loses a race on a cold day will have a frosty disposition.	frosty	homographic	frosty
en_4682	Why was the car embarrassed? Because it had gas!	gas	homographic	gas
en_4685	Math teachers have lots of problems.	problems	homographic	problems
en_469	Don't believe what you hear about fleas and ticks. It's all lice.	lice	homophonic	lies
en_4692	Will this computer last five years? Obsoletely!	Obsoletely	homophonic	absolutely
en_470	Joe refused to eat sushi because it looks fishy.	fishy	homographic	fishy
en_4702	He stole an invention and then told patent lies.	patent	homographic	patent
en_4704	If your dad's sisters are construction workers you might call them carpenter aunts.	aunts	homophonic	ants
en_4711	The garden club visited the nursery and found themselves in a hosta environment.	hosta	homophonic	hostal
en_4715	Qwertyus, god of keyboards, is a character from geek mythology.	geek	homophonic	greek
en_4718	A king is old when he reaches the age of sovereignty.	sovereignty	homophonic	seventy
en_4720	In his latest promotional campaign, the manager of City Tent and Awning told his crew to canvas the entire area.	canvas	homographic	canvas
en_4725	He crashed through several windows, but felt no pane.	pane	homophonic	pain
en_473	A politician decided to resign on the day of an eclipse because it was a dark day.	dark	homographic	dark
en_4738	Why are all businessmen fat? Must be all the inflation.	inflation	homographic	inflation
en_4749	No one chills out in the fires of hell.	chills	homographic	chills
en_4771	My name is Jim I train boxers	jim	homophonic	gym
en_4777	Yesterday I accidentally swallowed some food coloring. The doctor says I'm OK, but I feel like I've dyed a little inside.	dyed	homophonic	died
en_4781	For a while, Houdini used a lot of trap doors in his act, but he was just going through a stage.	stage	homographic	stage
en_4796	To learn rope tricks you have to be taut.	taut	homophonic	taught
en_4800	His model airplane hobby really took off.	took	homographic	took
en_4803	The actors had one great movie after another. They were on a role.	role	homophonic	roll
en_4804	Act your praise, not your shoe size.	praise	homophonic	age
en_4806	Would anyone like some Parmesan? he asked gratingly.	gratingly	homographic	grating
