id_en	text_clean	pun_word	pun_type	first_meaning	second_meaning	first_context	second_context	manual_location	manual_type	manual_alternative	pun_word_fr	first_meaning_fr	second_meaning_fr	first_context_fr	second_context_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	first_context_bt	second_context_bt
en_59	Gravity, it's always putting everyone down.	down	homographic	['downward', 'below', 'lower', 'earthward', 'descending']	['belittling', 'demeaning', 'insulting', 'criticizing', 'disparaging']	['Gravity']	['everyone']	putting	homographic	putting	bas	['vers le bas', 'en dessous', 'plus bas', 'vers la terre', 'descendant']	['rabaissant', 'dégradant', 'insultant', 'critiquant', 'dénigrant']	['Gravité']	['tout le monde']	ERROR	[]	[]	[]	[]
en_60	The scorpion said to the desert, 'You know, our conversations are always so dry.'	dry	homographic	['arid', 'parched', 'waterless', 'dehydrated', 'moistureless']	['boring', 'dull', 'uninteresting', 'humorless', 'monotonous']	['desert', 'scorpion']	['conversations']	dry	homographic	dry	sec	['aride', 'desséché', 'sans eau', 'déshydraté', 'sans humidité']	['ennuyeux', 'terne', 'inintéressant', 'sans humour', 'monotone']	['désert', 'scorpion']	['conversations']	ERROR	[]	[]	[]	[]
en_61	A busy barber is quite harried.	harried	homophonic	['stressed', 'harassed', 'overwhelmed', 'pressured', 'agitated', 'troubled']	['haired', 'hairy', 'hirsute', 'covered in hair', 'shaggy', 'hair-covered']	['busy']	['barber']	harried	homophonic	hairy	harcelé	['stressé', 'harcelé', 'débordé', 'sous pression', 'agité', 'troublé']	['chevelu', 'poilu', 'hirsute', 'couvert de poils', 'bourru', 'recouvert de poils']	['occupé']	['barbier']	ERROR	[]	[]	[]	[]
en_62	The gunman took a shot at new opportunities.	shot	homographic	['fired', 'discharged', 'blast', 'gunfire', 'projectile']	['attempt', 'chance', 'try', 'go', 'crack', 'endeavor']	['gunman']	['opportunities']	shot	homographic	shot	coup	['tiré', 'déchargé', 'déflagration', 'fusillade', 'projectile']	['tentative', 'chance', 'essai', 'coup', 'tentative', 'effort']	['tireur']	['opportunités']	ERROR	[]	[]	[]	[]
en_63	The cobbler was asked how many shoes he had soled by a well	soled	homophonic	['resoled', 'repaired', 'mended', 'bottomed', 'fixed']	['sold', 'vended', 'traded', 'marketed', 'exchanged']	['cobbler', 'shoes']	['how many']	soled	homophonic	sold	semelé	['ressemelé', 'réparé', 'raccommodé', "muni d'une semelle", 'remis en état']	['vendu', 'débité', 'échangé', 'commercialisé', 'troqué']	['cordonnier', 'chaussures']	['combien']	ERROR	[]	[]	[]	[]
en_64	Legends tell us that a weakness of the carnivorous vampire is a steak.	steak	homophonic	['steak', 'meat', 'beef', 'fillet', 'cut of meat']	['stake', 'pointed stick', 'post', 'spike', 'wooden pole']	['carnivorous']	['Legends', 'weakness', 'vampire']	steak	homophonic	stake	steak	['steak', 'viande', 'bœuf', 'filet', 'morceau de viande']	['pieu', 'bâton pointu', 'poteau', 'pointe', 'poteau en bois']	['carnivore']	['Légendes', 'faiblesse', 'vampire']	ERROR	[]	[]	[]	[]
en_65	To become a pilot requires a good altitude.	altitude	homophonic	['height', 'elevation', 'vertical distance', 'altitude']	['mindset', 'disposition', 'outlook', 'attitude']	['pilot']	['become', 'good']	altitude	homophonic	attitude	altitude	['hauteur', 'élévation', 'distance verticale', 'altitude']	["état d'esprit", 'disposition', 'perspective', 'attitude']	['pilote']	['devenir', 'bon']	ERROR	[]	[]	[]	[]
en_66	I teach at a university, he professed.	professed	homographic	['declared', 'asserted', 'claimed', 'stated', 'announced', 'affirmed']	['taught', 'lectured', 'instructed', 'educated', 'tutored', 'schooled']	[]	['teach', 'university']	professed	homophonic	professor	professé	['déclaré', 'affirmé', 'prétendu', 'énoncé', 'annoncé', 'soutenu']	['enseigné', 'donné des cours', 'instruit', 'éduqué', 'formé', 'scolarisé']	[]	['enseigner', 'université']	ERROR	[]	[]	[]	[]
en_67	When there's a sale on tennis balls it's first come first serve.	serve	homographic	['attended to', 'assisted', 'helped', 'accommodated', 'provided for']	['delivery', 'stroke', 'hit', 'overhead', 'start of play']	['sale', 'first come']	['tennis balls']	serve	homographic	serve	servir	['servi', 'assisté', 'aidé', 'satisfait', 'pourvu']	['service', 'coup', 'frappe', 'smash', 'mise en jeu']	['vente', 'premier arrivé']	['balles de tennis']	ERROR	[]	[]	[]	[]
en_68	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	shocking	homographic	['appalling', 'dreadful', 'terrible', 'outrageous', 'scandalous']	['electrifying', 'jolting', 'galvanic', 'stunning']	['failure']	['wiring', 'current']	shocking	homographic	shocking	choquant	['épouvantable', 'effroyable', 'terrible', 'outrageant', 'scandaleux']	['électrisant', 'secouant', 'galvanique', 'stupéfiant']	['échec']	['câblage', 'courant']	ERROR	[]	[]	[]	[]
en_69	From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident.	occident	homophonic	['West', 'western lands', 'sunset lands', 'occident']	['chance', 'fluke', 'coincidence', 'fortuity', 'accident']	['Pacific', 'California coast']	['shipwrecked', 'survivor', 'found his way']	occident	homophonic	accident	occident	['Ouest', 'terres occidentales', 'terres du soleil couchant', 'occident']	['hasard', 'coup de chance', 'coïncidence', 'fortuité', 'accident']	['Pacifique', 'côte californienne']	['naufragé', 'survivant', 'a trouvé son chemin']	ERROR	[]	[]	[]	[]
en_70	When making butter there is little margarine for error.	margarine	homophonic	['margarine', 'oleo', 'spread', 'butter substitute', 'fat']	['margin', 'allowance', 'leeway', 'latitude', 'room', 'space']	['making', 'butter']	['little', 'error']	margarine	homophonic	margin	margarine	['margarine', 'oléo', 'pâte à tartiner', 'substitut de beurre', 'matière grasse']	['marge', 'tolérance', 'marge de manœuvre', 'latitude', 'place', 'espace']	['fabrication', 'beurre']	['petite', 'erreur']	ERROR	[]	[]	[]	[]
en_71	Old chemists never die, they just stop reacting.	reacting	homographic	['transforming', 'interacting', 'bonding', 'combining', 'precipitating', 'undergoing a chemical change']	['responding', 'acting', 'behaving', 'answering', 'replying', 'moving']	['chemists']	['Old', 'die']	reacting	homographic	reacting	réagir	['se transformer', 'interagir', 'se lier', 'se combiner', 'précipiter', 'subir un changement chimique']	['répondre', 'agir', 'se comporter', 'répondre', 'répliquer', 'bouger']	['chimistes']	['Vieux', 'mourir']	ERROR	[]	[]	[]	[]
en_72	The model who joined the air force was a bombshell.	bombshell	homographic	['beauty', 'stunner', 'knockout', 'babe', 'siren']	['explosive', 'projectile', 'missile', 'shell', 'ammunition']	['model']	['air force']	bombshell	homographic	bombshell	bombe	['beauté', 'canon', 'merveille', 'poupée', 'sirène']	['explosif', 'projectile', 'missile', 'obus', 'munition']	['mannequin']	["armée de l'air"]	ERROR	[]	[]	[]	[]
en_73	Abstinence makes the heart grow fonder	Abstinence	homophonic	['self-denial', 'refraining', 'temperance', 'restraint', 'abstinence']	['nonattendance', 'awayness', 'lack', 'unavailability', 'absence']	['heart', 'grow', 'fonder']	['heart', 'grow', 'fonder']	abstinence	homophonic	absence 	Abstinence	['abnégation', 'abstention', 'tempérance', 'retenue', 'abstinence']	['non-présence', 'éloignement', 'manque', 'indisponibilité', 'absence']	['cœur', 'grandir', 'plus tendre']	['cœur', 'grandir', 'plus tendre']	ERROR	[]	[]	[]	[]
en_74	It's not that the man did not know how to juggle, he just didn't have the balls to do it.	balls	homographic	['spheres', 'globes', 'orbs', 'pellets', 'projectiles']	['courage', 'bravery', 'guts', 'nerve', 'audacity', 'moxie']	['juggle']	['man', "didn't", 'have', 'to', 'do', 'it']	balls	homographic	balls	boules	['sphères', 'globes', 'orbes', 'billes', 'projectiles']	['courage', 'bravoure', 'tripes', 'culot', 'audace', 'cran']	['jongler']	["l'homme", "n'a", 'pas', 'dû', 'le', 'faire']	ERROR	[]	[]	[]	[]
en_75	Two coin collectors got together for old dimes sake.	dimes	homophonic	['dimes', 'coins', 'currency', 'ten-cent pieces', 'money']	['times', 'past', 'memories', 'history', 'nostalgia']	['coin', 'collectors']	['old', 'sake']	dimes	homophonic	times	pièces de dix cents	['pièces de dix cents', 'pièces de monnaie', 'monnaie', 'pièces de dix centimes', 'argent']	['temps', 'passé', 'souvenirs', 'histoire', 'nostalgie']	['pièce de monnaie', 'collectionneurs']	['ancien', 'souvenir']	ERROR	[]	[]	[]	[]
en_76	It's an actual parameter, not a formal parameter, was his argument.	argument	homographic	['parameter', 'value', 'input', 'independent variable']	['dispute', 'disagreement', 'reasoning', 'claim', 'case', 'contention']	['actual', 'parameter', 'formal']	['his']	argument	homographic	argument	argument	['paramètre', 'valeur', 'entrée', 'variable indépendante']	['dispute', 'désaccord', 'raisonnement', 'affirmation', 'argumentation', 'contestation']	['effectif', 'paramètre', 'formel']	['son']	ERROR	[]	[]	[]	[]
en_77	3.14159265, he said piously.	piously	homophonic	['devoutly', 'religiously', 'reverently', 'holily', 'prayerfully', 'saintly']	['pi', '3.14', 'mathematical constant', 'ratio of circumference to diameter', "Archimedes' constant"]	[]	['3.14159265']	piously	homophonic	pi	pieusement	['dévotement', 'religieusement', 'révérencieusement', 'saintement', 'dans la prière', 'de manière sainte']	['pi', '3,14', 'constante mathématique', 'rapport de la circonférence au diamètre', "constante d'Archimède"]	[]	['3,14159265']	ERROR	[]	[]	[]	[]
en_78	An astronomy column in the newspaper would have a lot of space devoted to it.	space	homographic	['room', 'area', 'expanse', 'margin', 'territory']	['outer space', 'cosmos', 'universe', 'void', 'infinity']	['newspaper', 'column']	['astronomy']	space	homographic	space	espace	['place', 'surface', 'étendue', 'marge', 'territoire']	['espace extra-atmosphérique', 'cosmos', 'univers', 'vide', 'infini']	['journal', 'colonne']	['astronomie']	ERROR	[]	[]	[]	[]
en_79	Old shoemakers never die, they are just given the boot.	boot	homographic	['dismissal', 'firing', 'termination', 'sacking', 'ejection']	['footwear', 'shoe', 'galosh', 'wellington', 'cleat']	['die']	['shoemakers']	boot	homographic	boot	botte	['licenciement', 'renvoi', 'résiliation', 'congédiement', 'expulsion']	['chaussures', 'soulier', 'galoche', 'botte en caoutchouc', 'crampon']	['mourir']	['cordonniers']	ERROR	[]	[]	[]	[]
en_80	One of these new shoes isn't right.	right	homographic	['right-hand', 'dexter', 'starboard', 'dextral']	['correct', 'proper', 'accurate', 'satisfactory', 'appropriate']	['shoes']	['new']	right	homographic	right	droit	['droit', 'dextre', 'tribord', 'dextre']	['correct', 'adéquat', 'exact', 'satisfaisant', 'approprié']	['chaussures']	['nouveau']	ERROR	[]	[]	[]	[]
en_81	The postmen get together for mail bonding.	mail	homophonic	['letters', 'packages', 'post', 'correspondence', 'mail']	['men', 'masculine', 'manly', 'male']	['postmen']	['get together', 'bonding']	mail	homophonic	male	courrier	['lettres', 'colis', 'poste', 'correspondance', 'courrier']	['hommes', 'masculin', 'viril', 'mâle']	['facteurs']	['rencontre', 'renforcement des liens']	ERROR	[]	[]	[]	[]
en_82	Let's take a vacation in the south of France, he said nicely.	nicely	homographic	['pleasantly', 'agreeably', 'kindly', 'politely', 'cordially']	['Nice', 'French Riviera city', 'Nizza', 'Mediterranean port']	['vacation']	['south', 'France']	nicely	homophonic	Nice	gentiment	['agréablement', 'aimablement', 'gentiment', 'poliment', 'cordialement']	['Nice', "ville de la Côte d'Azur", 'Nice', 'port méditerranéen']	['vacances']	['sud', 'France']	ERROR	[]	[]	[]	[]
en_83	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.	pullet	homophonic	['young hen', 'chicken', 'bird', 'fowl']	['bullet', 'projectile', 'slug', 'shot', 'ammunition']	['farmer', 'kill', 'chicken', 'dinner']	['faster', 'speeding']	pullet	homophonic	bullet	poulette	['jeune poule', 'poulet', 'oiseau', 'volaille']	['balle', 'projectile', 'balle en plomb', 'coup', 'munitions']	['fermier', 'tuer', 'poulet', 'dîner']	['plus vite', 'vitesse']	ERROR	[]	[]	[]	[]
en_84	Even though Catholics in space are weightless, do they have mass?	mass	homographic	['matter', 'substance', 'bulk', 'magnitude', 'density']	['liturgy', 'service', 'Eucharist', 'rite', 'ceremony']	['space', 'weightless']	['Catholics']	mass	homographic	mass	masse	['matière', 'substance', 'volume', 'grandeur', 'densité']	['liturgie', 'office', 'Eucharistie', 'rite', 'cérémonie']	['espace', 'apesanteur']	['catholiques']	ERROR	[]	[]	[]	[]
en_85	Old telephone operators never die, they just become disconnected.	disconnected	homographic	['severed', 'cut off', 'unplugged', 'deactivated', 'unlinked']	['detached', 'separated', 'isolated', 'departed', 'dissociated']	['telephone', 'operators']	['Old', 'die']	disconnected	homographic	disconnected	déconnecté	['coupé', 'interrompu', 'débranché', 'désactivé', 'délié']	['détaché', 'séparé', 'isolé', 'disparu', 'dissocié']	['téléphone', 'opérateurs']	['Vieux', 'mourir']	ERROR	[]	[]	[]	[]
en_86	A guy became so good with a chainsaw that he was promoted to branch manager.	branch	homographic	['bough', 'limb', 'twig', 'offshoot', 'arm']	['division', 'department', 'office', 'subdivision', 'sector']	['chainsaw']	['promoted', 'manager']	branch	homographic	branch	branche	['rameau', 'branche', 'brindille', 'ramification', 'bras']	['division', 'département', 'bureau', 'subdivision', 'secteur']	['tronçonneuse']	['promu', 'directeur']	ERROR	[]	[]	[]	[]
en_87	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'	iris	homophonic	['iris', 'eye part', 'colored ring', 'diaphragm']	['Irish', 'Gaelic', 'Hibernian', 'Celtic']	['optometrist', 'patient', 'vision', 'improving']	['luck']	iris	homophonic	irish	iris	['iris', "partie de l'œil", 'anneau coloré', 'diaphragme']	['irlandais', 'gaélique', 'hibernien', 'celtique']	['optométriste', 'patient', 'vision', 'amélioration']	['chance']	ERROR	[]	[]	[]	[]
en_88	Old math profs never die. They just use strange expressions.	expressions	homographic	['formulas', 'equations', 'notations', 'mathematical statements', 'terms']	['phrases', 'idioms', 'sayings', 'facial looks', 'utterances']	['math', 'profs']	['die']	expressions	homographic	expressions	expressions	['formules', 'équations', 'notations', 'énoncés mathématiques', 'termes']	['phrases', 'expressions idiomatiques', 'dictons', 'expressions faciales', 'énoncés']	['mathématiques', 'profs']	['mourir']	ERROR	[]	[]	[]	[]
en_89	Q: River Ravi flows in which state? A: Liquid.	state	homographic	['province', 'territory', 'region', 'administrative division', 'country']	['condition', 'phase', 'form', 'physical state', 'status']	['River', 'Ravi']	['Liquid']	state	homographic	state	état	['province', 'territoire', 'région', 'division administrative', 'pays']	['condition', 'phase', 'forme', 'état physique', 'statut']	['Rivière', 'Ravi']	['Liquide']	ERROR	[]	[]	[]	[]
en_90	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.	Torrance	homophonic	['Torrance', 'city', 'municipality', 'suburb', 'urban area']	['torrents', 'downpours', 'deluges', 'cascades', 'gushes', 'bursts']	['Los Angeles']	['rainstorm', 'rain', 'came down']	torrance	homophonic	torrents	Torrance	['Torrance', 'ville', 'municipalité', 'banlieue', 'zone urbaine']	['torrents', 'averses', 'déluges', 'cascades', 'jaillissements', 'trombes']	['Los Angeles']	['tempête de pluie', 'pluie', 'est tombée']	ERROR	[]	[]	[]	[]
en_91	Wow, thanks for the tea. I'm glad I got to Chai it.	Chai	homophonic	['tea', 'spiced tea', 'beverage', 'masala', 'Chai']	['try', 'attempt', 'sample', 'test', 'experience']	['tea']	['got to']	Chai	homophonic	try	Chai	['thé', 'thé épicé', 'boisson', 'masala', 'Chai']	['essayer', 'tenter', 'goûter', 'tester', 'expérimenter']	['thé']	['devoir', 'avoir à']	ERROR	[]	[]	[]	[]
en_92	After he invented the light bulb, people saw Edison in a new light.	light	homographic	['illumination', 'brightness', 'radiance', 'glow', 'luminescence']	['perspective', 'viewpoint', 'perception', 'understanding', 'aspect']	['invented', 'bulb']	['people', 'saw', 'Edison', 'new']	light	homographic	light	lumière	['illumination', 'luminosité', 'éclat', 'lueur', 'luminescence']	['perspective', 'point de vue', 'perception', 'compréhension', 'aspect']	['inventé', 'ampoule']	['gens', 'voyaient', 'Edison', 'nouveau']	ERROR	[]	[]	[]	[]
en_93	A bee keeper will sell you honey with swarm wishes.	swarm	homophonic	['cluster', 'hive', 'mass', 'throng', 'cloud', 'drove']	['warm', 'cordial', 'genial', 'heartfelt', 'friendly', 'affectionate']	['bee keeper', 'honey']	['wishes']	swarm	homophonic	warm	essaim	['amas', 'ruche', 'masse', 'foule', 'nuage', 'nuée']	['chaleureux', 'cordial', 'sympathique', 'sincère', 'amical', 'affectueux']	['apiculteur', 'miel']	['vœux']	ERROR	[]	[]	[]	[]
en_94	An architect knows how to make a long storey short.	storey	homophonic	['story', 'tale', 'narrative', 'account', 'anecdote', 'chronicle']	['storey', 'floor', 'level', 'tier', 'deck', 'stage']	['long', 'short']	['architect']	storey	homophonic	story	étage	['histoire', 'conte', 'récit', 'compte-rendu', 'anecdote', 'chronique']	['étage', 'plancher', 'niveau', 'rang', 'pont', 'palier']	['longue', 'courte']	['architecte']	ERROR	[]	[]	[]	[]
en_95	Old electricians never die, they just can't make connections	connections	homographic	['links', 'joints', 'wiring', 'circuits', 'junctions', 'couplings']	['relationships', 'bonds', 'associations', 'ties', 'interactions', 'friendships']	['electricians']	['Old', 'die']	connections	homographic	connections	connexions	['liens', 'joints', 'câblage', 'circuits', 'jonctions', 'couplages']	['relations', 'liens', 'associations', 'attaches', 'interactions', 'amitiés']	['électriciens']	['Vieux', 'meurent']	ERROR	[]	[]	[]	[]
en_96	Boy, that's a bright star, he said seriously.	seriously	homophonic	['gravely', 'solemnly', 'earnestly', 'soberly', 'sincerely']	['Sirius', 'dog star', 'stellar', 'astral', 'celestial']	['said']	['bright', 'star']	seriously	homophonic	sirius	sérieusement	['gravement', 'solennellement', 'sérieusement', 'sobrement', 'sincèrement']	['Sirius', "l'étoile du Chien", 'stellaire', 'astral', 'céleste']	['dit']	['brillant', 'étoile']	ERROR	[]	[]	[]	[]
en_97	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.	mine	homophonic	['mind', 'brain', 'intellect', 'thought', 'consciousness', 'psyche']	['mine', 'explosive', 'landmine', 'bomb', 'trap', 'ordnance']	['picture']	['Claymore', 'defensive', 'weapon']	mine	homophonic	mind	mine	['esprit', 'cerveau', 'intellect', 'pensée', 'conscience', 'psyché']	['mine', 'explosif', 'mine terrestre', 'bombe', 'piège', 'munitions']	['image']	['Claymore', 'défensif', 'arme']	ERROR	[]	[]	[]	[]
en_98	Freud could barely repress his excitement.	repress	homographic	['restrain', 'stifle', 'smother', 'curb', 'bottle up', 'suppress']	['push down', 'submerge', 'bury', 'banish to the unconscious', 'inhibit']	['excitement']	['Freud']	repress	homophonic	suppress	réprimer	['réprimer', 'étouffer', 'contenir', 'freiner', 'renfermer', 'supprimer']	['refouler', 'submerger', 'enfouir', "bannir dans l'inconscient", 'inhiber']	['excitation']	['Freud']	ERROR	[]	[]	[]	[]
en_99	Old miners never die, they just lose their veins.	veins	homographic	['blood vessels', 'capillaries', 'venules', 'vasculature', 'ducts']	['lodes', 'seams', 'deposits', 'strata', 'ore bodies']	['die']	['miners']	veins	homophonic	vains	veines	['vaisseaux sanguins', 'capillaires', 'veinules', 'système vasculaire', 'conduits']	['filons', 'couches', 'gisements', 'strates', 'corps minéralisés']	['mourir']	['mineurs']	ERROR	[]	[]	[]	[]
en_100	If you think that mutt made strange sounds as a pup, you should hear him grown.	grown	homophonic	['matured', 'adult', 'full-grown', 'developed']	['groan', 'moan', 'cry', 'sound', 'lament']	['mutt', 'pup']	['sounds', 'hear']	grown	homophonic	groan	grandi	['mûri', 'adulte', 'adulte', 'développé']	['gémissement', 'plainte', 'cri', 'son', 'lamentation']	['bâtard', 'chiot']	['sons', 'entendre']	ERROR	[]	[]	[]	[]
